Status: 1
NoRaiz: 103
Rrn prox no: 125
Lixo: @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
RRN: 0 | Folha: 1 | NroChaves: 2 | -1 [1] -1 [2] -1 [-1] -1 [-1] -1 
RRN: 1 | Folha: 1 | NroChaves: 2 | -1 [165] -1 [166] -1 [-1] -1 [-1] -1 
RRN: 2 | Folha: 0 | NroChaves: 2 | 0 [10] 117 [22] 106 [-1] -1 [-1] -1 
RRN: 3 | Folha: 1 | NroChaves: 2 | -1 [168] -1 [169] -1 [-1] -1 [-1] -1 
RRN: 4 | Folha: 1 | NroChaves: 2 | -1 [171] -1 [175] -1 [-1] -1 [-1] -1 
RRN: 5 | Folha: 1 | NroChaves: 2 | -1 [180] -1 [181] -1 [-1] -1 [-1] -1 
RRN: 6 | Folha: 1 | NroChaves: 2 | -1 [183] -1 [184] -1 [-1] -1 [-1] -1 
RRN: 7 | Folha: 0 | NroChaves: 3 | 4 [176] 5 [182] 6 [188] 122 [-1] -1 
RRN: 8 | Folha: 0 | NroChaves: 2 | 2 [27] 119 [170] 7 [-1] -1 [-1] -1 
RRN: 9 | Folha: 1 | NroChaves: 3 | -1 [202] -1 [203] -1 [205] -1 [-1] -1 
RRN: 10 | Folha: 1 | NroChaves: 2 | -1 [265] -1 [266] -1 [-1] -1 [-1] -1 
RRN: 11 | Folha: 1 | NroChaves: 2 | -1 [271] -1 [272] -1 [-1] -1 [-1] -1 
RRN: 12 | Folha: 0 | NroChaves: 3 | 9 [207] 123 [211] 44 [214] 45 [-1] -1 
RRN: 13 | Folha: 1 | NroChaves: 4 | -1 [275] -1 [280] -1 [302] -1 [303] -1 
RRN: 14 | Folha: 1 | NroChaves: 2 | -1 [361] -1 [365] -1 [-1] -1 [-1] -1 
RRN: 15 | Folha: 1 | NroChaves: 2 | -1 [370] -1 [371] -1 [-1] -1 [-1] -1 
RRN: 16 | Folha: 0 | NroChaves: 3 | 13 [304] 109 [311] 50 [323] 51 [-1] -1 
RRN: 17 | Folha: 1 | NroChaves: 2 | -1 [373] -1 [374] -1 [-1] -1 [-1] -1 
RRN: 18 | Folha: 1 | NroChaves: 2 | -1 [378] -1 [380] -1 [-1] -1 [-1] -1 
RRN: 19 | Folha: 1 | NroChaves: 3 | -1 [386] -1 [387] -1 [389] -1 [-1] -1 
RRN: 20 | Folha: 0 | NroChaves: 2 | 17 [375] 18 [385] 19 [-1] -1 [-1] -1 
RRN: 21 | Folha: 1 | NroChaves: 2 | -1 [461] -1 [462] -1 [-1] -1 [-1] -1 
RRN: 22 | Folha: 1 | NroChaves: 2 | -1 [464] -1 [465] -1 [-1] -1 [-1] -1 
RRN: 23 | Folha: 1 | NroChaves: 3 | -1 [468] -1 [469] -1 [471] -1 [-1] -1 
RRN: 24 | Folha: 0 | NroChaves: 2 | 21 [463] 22 [466] 23 [-1] -1 [-1] -1 
RRN: 25 | Folha: 0 | NroChaves: 3 | 16 [334] 53 [372] 20 [393] 24 [-1] -1 
RRN: 26 | Folha: 0 | NroChaves: 3 | 8 [201] 120 [274] 25 [472] 39 [-1] -1 
RRN: 27 | Folha: 1 | NroChaves: 2 | -1 [474] -1 [475] -1 [-1] -1 [-1] -1 
RRN: 28 | Folha: 1 | NroChaves: 2 | -1 [489] -1 [500] -1 [-1] -1 [-1] -1 
RRN: 29 | Folha: 1 | NroChaves: 4 | -1 [600] -1 [602] -1 [603] -1 [607] -1 
RRN: 30 | Folha: 0 | NroChaves: 3 | 27 [477] 28 [502] 124 [506] 111 [-1] -1 
RRN: 31 | Folha: 1 | NroChaves: 3 | -1 [665] -1 [666] -1 [668] -1 [-1] -1 
RRN: 32 | Folha: 1 | NroChaves: 2 | -1 [671] -1 [673] -1 [-1] -1 [-1] -1 
RRN: 33 | Folha: 1 | NroChaves: 3 | -1 [679] -1 [680] -1 [681] -1 [-1] -1 
RRN: 34 | Folha: 0 | NroChaves: 2 | 31 [670] 32 [674] 33 [-1] -1 [-1] -1 
RRN: 35 | Folha: 1 | NroChaves: 2 | -1 [710] -1 [711] -1 [-1] -1 [-1] -1 
RRN: 36 | Folha: 1 | NroChaves: 4 | -1 [772] -1 [773] -1 [777] -1 [778] -1 
RRN: 37 | Folha: 1 | NroChaves: 2 | -1 [788] -1 [789] -1 [-1] -1 [-1] -1 
RRN: 38 | Folha: 0 | NroChaves: 2 | 35 [712] 87 [718] 88 [-1] -1 [-1] -1 
RRN: 39 | Folha: 0 | NroChaves: 3 | 30 [509] 113 [521] 58 [535] 62 [-1] -1 
RRN: 40 | Folha: 1 | NroChaves: 2 | -1 [865] -1 [870] -1 [-1] -1 [-1] -1 
RRN: 41 | Folha: 1 | NroChaves: 4 | -1 [876] -1 [889] -1 [901] -1 [902] -1 
RRN: 42 | Folha: 1 | NroChaves: 4 | -1 [967] -1 [972] -1 [979] -1 [989] -1 
RRN: 43 | Folha: 0 | NroChaves: 2 | 40 [875] 41 [911] 97 [-1] -1 [-1] -1 
RRN: 44 | Folha: 1 | NroChaves: 2 | -1 [212] -1 [213] -1 [-1] -1 [-1] -1 
RRN: 45 | Folha: 1 | NroChaves: 2 | -1 [216] -1 [222] -1 [-1] -1 [-1] -1 
RRN: 46 | Folha: 1 | NroChaves: 3 | -1 [225] -1 [226] -1 [229] -1 [-1] -1 
RRN: 47 | Folha: 0 | NroChaves: 2 | 46 [231] 48 [236] 49 [-1] -1 [-1] -1 
RRN: 48 | Folha: 1 | NroChaves: 2 | -1 [232] -1 [233] -1 [-1] -1 [-1] -1 
RRN: 49 | Folha: 1 | NroChaves: 2 | -1 [242] -1 [243] -1 [-1] -1 [-1] -1 
RRN: 50 | Folha: 1 | NroChaves: 2 | -1 [321] -1 [322] -1 [-1] -1 [-1] -1 
RRN: 51 | Folha: 1 | NroChaves: 2 | -1 [331] -1 [332] -1 [-1] -1 [-1] -1 
RRN: 52 | Folha: 1 | NroChaves: 2 | -1 [335] -1 [336] -1 [-1] -1 [-1] -1 
RRN: 53 | Folha: 0 | NroChaves: 3 | 52 [338] 54 [360] 14 [366] 15 [-1] -1 
RRN: 54 | Folha: 1 | NroChaves: 4 | -1 [340] -1 [341] -1 [342] -1 [343] -1 
RRN: 55 | Folha: 1 | NroChaves: 2 | -1 [515] -1 [516] -1 [-1] -1 [-1] -1 
RRN: 56 | Folha: 1 | NroChaves: 2 | -1 [522] -1 [523] -1 [-1] -1 [-1] -1 
RRN: 57 | Folha: 1 | NroChaves: 3 | -1 [527] -1 [528] -1 [531] -1 [-1] -1 
RRN: 58 | Folha: 0 | NroChaves: 2 | 56 [524] 57 [532] 59 [-1] -1 [-1] -1 
RRN: 59 | Folha: 1 | NroChaves: 2 | -1 [533] -1 [534] -1 [-1] -1 [-1] -1 
